Format Version,1.23,Take Name,1_dyn,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2020-06-18 03.29.47.769 ,Total Frames in Take,3818,Total Exported Frames,3818,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,weight,weight,weight,weight,weight,weight,weight,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,weight:Marker1,weight:Marker1,weight:Marker1,weight:Marker2,weight:Marker2,weight:Marker2,weight:Marker3,weight:Marker3,weight:Marker3
,ID,"1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","D94E0","D94E0","D94E0","D94F0","D94F0","D94F0","D9500","D9500","D9500","D9510","D9510","D9510","D9520","D9520","D9520","D9530","D9530","D9530","D9540","D9540","D9540","D9550","D9550","D9550","D9580","D9580","D9580","D9590","D9590","D9590","D95A0","D95A0","D95A0","D95B0","D95B0","D95B0","D95C0","D95C0","D95C0","D9A20","D9A20","D9A20","D9BD0","D9BD0","D9BD0","D9A80","D9A80","D9A80","D9430","D9430","D9430"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.001273,0.669457,0.676477,-0.306928,0.073270,0.431182,0.341741,0.358659,0.427805,0.016604,0.347410,0.417943,0.270341,0.226098,0.294140,0.133451,0.206869,0.293487,0.164104,0.203741,0.692345,0.141847,0.093693,0.560553,-0.142033,0.089393,0.292663,-0.143101,0.066169,0.282992,0.402191,-0.030888,0.295015,0.115872,-0.048874,0.694080,0.129797,-0.070514,0.294950,0.137561,-0.188135,0.423657,-0.009882,-0.200026,0.417420,0.248748,0.064361,0.531726,0.405207,0.063238,0.398047,0.349098,0.104480,0.437486,0.327053,0.052091,0.458013,0.349073
1,0.002778,0.000363,0.669201,0.676461,-0.307522,0.073445,0.431212,0.341680,0.358659,0.427799,0.016595,0.347421,0.417945,0.270331,0.226102,0.294144,0.133448,0.206869,0.293488,0.164102,0.203746,0.692347,0.141832,0.093691,0.560542,-0.142041,0.089388,0.292656,-0.143102,0.066177,0.282998,0.402193,-0.030887,0.295014,0.115872,-0.048881,0.694086,0.129793,-0.070513,0.294944,0.137569,-0.188136,0.423655,-0.009887,-0.200019,0.417425,0.248750,0.064371,0.531739,0.405199,0.063488,0.398052,0.349001,0.104642,0.437585,0.327009,0.052206,0.457999,0.349031
2,0.005556,-0.000565,0.669303,0.676129,-0.308031,0.073613,0.431238,0.341619,0.358657,0.427794,0.016590,0.347420,0.417946,0.270322,0.226097,0.294138,0.133446,0.206872,0.293487,0.164101,0.203748,0.692345,0.141818,0.093691,0.560540,-0.142048,0.089389,0.292655,-0.143106,0.066178,0.283004,0.402187,-0.030888,0.295015,0.115869,-0.048880,0.694089,0.129785,-0.070510,0.294946,0.137579,-0.188132,0.423654,-0.009889,-0.200014,0.417427,0.248750,0.064382,0.531749,0.405190,0.063726,0.398061,0.348931,0.104784,0.437678,0.326977,0.052328,0.457975,0.348949
3,0.008333,-0.001264,0.669073,0.676091,-0.308611,0.073761,0.431270,0.341579,0.358663,0.427793,0.016565,0.347432,0.417953,0.270317,0.226101,0.294142,0.133439,0.206875,0.293489,0.164100,0.203753,0.692345,0.141806,0.093688,0.560533,-0.142057,0.089390,0.292649,-0.143105,0.066183,0.283007,0.402185,-0.030886,0.295014,0.115867,-0.048872,0.694088,0.129776,-0.070514,0.294951,0.137558,-0.188132,0.423650,-0.009892,-0.200011,0.417432,0.248754,0.064389,0.531761,0.405187,0.063941,0.398078,0.348863,0.104917,0.437764,0.326946,0.052424,0.457967,0.348929
4,0.011111,-0.002057,0.668947,0.675951,-0.309188,0.073906,0.431296,0.341532,0.358667,0.427791,0.016558,0.347433,0.417953,0.270307,0.226098,0.294141,0.133441,0.206873,0.293490,0.164097,0.203757,0.692344,0.141794,0.093687,0.560529,-0.142068,0.089383,0.292643,-0.143112,0.066188,0.283016,0.402186,-0.030886,0.295012,0.115866,-0.048863,0.694080,0.129767,-0.070515,0.294953,0.137556,-0.188130,0.423650,-0.009898,-0.200005,0.417436,0.248753,0.064396,0.531772,0.405180,0.064162,0.398078,0.348792,0.105042,0.437847,0.326914,0.052512,0.457964,0.348889
5,0.013889,-0.002692,0.668798,0.675867,-0.309687,0.074034,0.431325,0.341479,0.358658,0.427756,0.016533,0.347442,0.417957,0.270299,0.226103,0.294141,0.133439,0.206879,0.293488,0.164093,0.203760,0.692346,0.141784,0.093685,0.560520,-0.142073,0.089387,0.292638,-0.143115,0.066193,0.283018,0.402180,-0.030885,0.295016,0.115863,-0.048871,0.694087,0.129762,-0.070511,0.294951,0.137552,-0.188136,0.423650,-0.009903,-0.199996,0.417439,0.248753,0.064407,0.531782,0.405170,0.064342,0.398088,0.348723,0.105166,0.437931,0.326866,0.052594,0.457958,0.348849
