Format Version,1.23,Take Name,4_1_dyn,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2020-06-18 04.18.28.720 ,Total Frames in Take,3971,Total Exported Frames,3971,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,weight,weight,weight,weight,weight,weight,weight,Unlabeled 1312,Unlabeled 1312,Unlabeled 1312,Unlabeled 1313,Unlabeled 1313,Unlabeled 1313,Unlabeled 1314,Unlabeled 1314,Unlabeled 1314,Unlabeled 1315,Unlabeled 1315,Unlabeled 1315,Unlabeled 1316,Unlabeled 1316,Unlabeled 1316,Unlabeled 1317,Unlabeled 1317,Unlabeled 1317,Unlabeled 1318,Unlabeled 1318,Unlabeled 1318,Unlabeled 1319,Unlabeled 1319,Unlabeled 1319,Unlabeled 1320,Unlabeled 1320,Unlabeled 1320,Unlabeled 1321,Unlabeled 1321,Unlabeled 1321,Unlabeled 1322,Unlabeled 1322,Unlabeled 1322,Unlabeled 1323,Unlabeled 1323,Unlabeled 1323,Unlabeled 1324,Unlabeled 1324,Unlabeled 1324,Unlabeled 1325,Unlabeled 1325,Unlabeled 1325,weight:Marker1,weight:Marker1,weight:Marker1,weight:Marker2,weight:Marker2,weight:Marker2,weight:Marker3,weight:Marker3,weight:Marker3
,ID,"1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","DD0D0","DD0D0","DD0D0","DD0E0","DD0E0","DD0E0","DD0F0","DD0F0","DD0F0","DD100","DD100","DD100","DD110","DD110","DD110","DD140","DD140","DD140","DD150","DD150","DD150","DD170","DD170","DD170","DD180","DD180","DD180","DD190","DD190","DD190","DD1A0","DD1A0","DD1A0","DD1B0","DD1B0","DD1B0","DD1C0","DD1C0","DD1C0","DD1D0","DD1D0","DD1D0","DD130","DD130","DD130","DD160","DD160","DD160","DD120","DD120","DD120"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.630517,0.483110,0.235066,0.560176,0.091416,0.204063,-0.083775,0.357851,0.423352,0.009145,0.346350,0.422322,0.265638,0.225620,0.294093,0.131014,0.206397,0.294051,0.161705,0.203951,0.692327,0.129085,0.092805,0.551784,-0.150505,0.088315,0.278155,-0.146824,0.065354,0.291125,0.398433,0.062811,0.546326,0.397435,-0.031393,0.294632,0.113471,-0.050600,0.693939,0.116856,-0.070975,0.294916,0.135186,-0.188864,0.418460,-0.017031,-0.201074,0.421145,0.243242,0.096079,0.171946,-0.097894,0.074702,0.207853,-0.053134,0.103466,0.232389,-0.100297
1,0.002778,-0.047702,0.288623,0.735474,-0.611146,0.091106,0.203936,-0.083699,0.357847,0.423350,0.009144,0.346355,0.422331,0.265636,0.225623,0.294093,0.131015,0.206393,0.294051,0.161702,0.203928,0.692317,0.129082,0.092800,0.551780,-0.150503,0.088298,0.278164,-0.146822,0.065360,0.291123,0.398436,0.062813,0.546325,0.397433,-0.031398,0.294633,0.113469,-0.050603,0.693949,0.116865,-0.070978,0.294922,0.135188,-0.188871,0.418465,-0.017037,-0.201068,0.421138,0.243251,0.095286,0.171534,-0.097734,0.103404,0.232377,-0.100272,0.074628,0.207896,-0.053089
2,0.005556,-0.047394,0.288929,0.735638,-0.610827,0.091027,0.203954,-0.083664,0.357842,0.423348,0.009148,0.346360,0.422340,0.265628,0.225619,0.294090,0.131009,0.206391,0.294050,0.161701,0.203923,0.692321,0.129081,0.092800,0.551777,-0.150503,0.088285,0.278174,-0.146817,0.065365,0.291121,0.398444,0.062813,0.546328,0.397435,-0.031395,0.294632,0.113469,-0.050613,0.693953,0.116869,-0.070981,0.294920,0.135182,-0.188876,0.418473,-0.017042,-0.201064,0.421129,0.243261,0.095181,0.171535,-0.097681,0.103350,0.232374,-0.100255,0.074548,0.207955,-0.053056
3,0.008333,-0.047102,0.289052,0.735765,-0.610639,0.090953,0.203963,-0.083634,0.357836,0.423346,0.009151,0.346356,0.422345,0.265621,0.225621,0.294095,0.131012,0.206393,0.294051,0.161704,0.203933,0.692336,0.129065,0.092799,0.551777,-0.150502,0.088281,0.278180,-0.146815,0.065365,0.291121,0.398444,0.062810,0.546327,0.397435,-0.031393,0.294632,0.113474,-0.050622,0.693951,0.116870,-0.070982,0.294924,0.135181,-0.188882,0.418474,-0.017044,-0.201067,0.421121,0.243268,0.095084,0.171534,-0.097634,0.103293,0.232370,-0.100242,0.074483,0.207983,-0.053025
4,0.011111,-0.627896,0.490897,0.230991,0.558042,0.090782,0.204224,-0.083319,0.357832,0.423349,0.009158,0.346352,0.422346,0.265613,0.225620,0.294095,0.131010,0.206393,0.294054,0.161702,0.203894,0.692321,0.129082,0.092801,0.551783,-0.150503,0.088281,0.278188,-0.146812,0.065365,0.291117,0.398446,0.062808,0.546328,0.397436,-0.031395,0.294633,0.113472,-0.050635,0.693952,0.116868,-0.070975,0.294923,0.135188,-0.188882,0.418476,-0.017046,-0.201073,0.421115,0.243277,0.094997,0.171539,-0.097602,0.074114,0.208765,-0.052123,0.103236,0.232369,-0.100232
5,0.013889,-0.627833,0.491147,0.230967,0.557902,0.090727,0.204230,-0.083305,0.357833,0.423350,0.009160,0.346345,0.422346,0.265608,0.225614,0.294102,0.131008,0.206393,0.294052,0.161701,0.203920,0.692328,0.129083,0.092803,0.551786,-0.150505,0.088282,0.278191,-0.146813,0.065359,0.291112,0.398444,0.062800,0.546333,0.397432,-0.031396,0.294632,0.113472,-0.050646,0.693939,0.116866,-0.070983,0.294918,0.135183,-0.188885,0.418473,-0.017043,-0.201081,0.421113,0.243284,0.094923,0.171542,-0.097578,0.074077,0.208782,-0.052110,0.103182,0.232366,-0.100228
