Format Version,1.23,Take Name,1_2_stat_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2020-06-18 04.02.48.409 ,Total Frames in Take,4577,Total Exported Frames,4577,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,weight,weight,weight,weight,weight,weight,weight,Unlabeled 1142,Unlabeled 1142,Unlabeled 1142,Unlabeled 1143,Unlabeled 1143,Unlabeled 1143,Unlabeled 1144,Unlabeled 1144,Unlabeled 1144,Unlabeled 1145,Unlabeled 1145,Unlabeled 1145,Unlabeled 1146,Unlabeled 1146,Unlabeled 1146,Unlabeled 1147,Unlabeled 1147,Unlabeled 1147,Unlabeled 1148,Unlabeled 1148,Unlabeled 1148,Unlabeled 1149,Unlabeled 1149,Unlabeled 1149,Unlabeled 1150,Unlabeled 1150,Unlabeled 1150,Unlabeled 1151,Unlabeled 1151,Unlabeled 1151,Unlabeled 1152,Unlabeled 1152,Unlabeled 1152,Unlabeled 1153,Unlabeled 1153,Unlabeled 1153,Unlabeled 1154,Unlabeled 1154,Unlabeled 1154,Unlabeled 1155,Unlabeled 1155,Unlabeled 1155,weight:Marker1,weight:Marker1,weight:Marker1,weight:Marker2,weight:Marker2,weight:Marker2,weight:Marker3,weight:Marker3,weight:Marker3
,ID,"1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","DA9B0","DA9B0","DA9B0","DA9C0","DA9C0","DA9C0","DAA00","DAA00","DAA00","DAA10","DAA10","DAA10","DAA20","DAA20","DAA20","DAA30","DAA30","DAA30","DAA40","DAA40","DAA40","DAA50","DAA50","DAA50","DAA60","DAA60","DAA60","DAA70","DAA70","DAA70","DAA80","DAA80","DAA80","DAA90","DAA90","DAA90","DAAA0","DAAA0","DAAA0","DAAB0","DAAB0","DAAB0","DA9D0","DA9D0","DA9D0","DA9F0","DA9F0","DA9F0","DA9E0","DA9E0","DA9E0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.647045,-0.088819,0.082552,-0.752748,0.300460,0.323810,0.268033,0.359079,0.426022,0.015263,0.347105,0.416056,0.269790,0.226096,0.293898,0.132699,0.206883,0.293485,0.163346,0.205496,0.692173,0.137879,0.094642,0.556616,-0.144445,0.089888,0.290577,-0.143786,0.065094,0.284100,0.401560,0.064317,0.540826,0.403254,-0.030972,0.294883,0.114949,-0.048971,0.694081,0.124962,-0.070559,0.295004,0.136702,-0.187550,0.422271,-0.012025,-0.200298,0.419642,0.247697,0.318513,0.293615,0.263990,0.265297,0.323644,0.267417,0.317570,0.354170,0.272692
1,0.002778,0.647057,-0.087514,0.082499,-0.752896,0.300540,0.323813,0.268086,0.359081,0.426027,0.015290,0.347115,0.416047,0.269809,0.226092,0.293887,0.132700,0.206889,0.293488,0.163351,0.205513,0.692175,0.137898,0.094657,0.556630,-0.144431,0.089906,0.290588,-0.143782,0.065105,0.284080,0.401566,0.064323,0.540820,0.403268,-0.030975,0.294885,0.114957,-0.048958,0.694080,0.124986,-0.070559,0.295006,0.136708,-0.187539,0.422274,-0.012033,-0.200288,0.419641,0.247697,0.318656,0.293641,0.264077,0.265387,0.323590,0.267403,0.317578,0.354208,0.272777
2,0.005556,0.465906,-0.526046,-0.590807,0.396427,0.300630,0.323816,0.268131,0.359091,0.426024,0.015314,0.347133,0.416041,0.269815,0.226097,0.293889,0.132704,0.206886,0.293484,0.163356,0.205532,0.692174,0.137920,0.094674,0.556654,-0.144414,0.089920,0.290598,-0.143784,0.065116,0.284057,0.401566,0.064322,0.540817,0.403286,-0.030975,0.294886,0.114962,-0.048954,0.694083,0.125006,-0.070559,0.295004,0.136710,-0.187529,0.422278,-0.012037,-0.200275,0.419637,0.247696,0.318798,0.293669,0.264170,0.317612,0.354242,0.272822,0.265480,0.323535,0.267400
3,0.008333,-0.647840,0.085336,-0.082179,0.752507,0.300726,0.323822,0.268174,0.359097,0.426019,0.015353,0.347141,0.416038,0.269825,0.226100,0.293901,0.132708,0.206888,0.293483,0.163357,0.205544,0.692178,0.137934,0.094690,0.556681,-0.144397,0.089951,0.290602,-0.143792,0.065141,0.284018,0.401547,0.064324,0.540815,0.403300,-0.030972,0.294890,0.114964,-0.048941,0.694083,0.125023,-0.070554,0.295008,0.136714,-0.187517,0.422289,-0.012035,-0.200265,0.419638,0.247694,0.318965,0.293703,0.264274,0.265567,0.323486,0.267400,0.317646,0.354275,0.272849
4,0.011111,-0.648354,0.084268,-0.081962,0.752209,0.300828,0.323826,0.268223,0.359114,0.426015,0.015377,0.347151,0.416028,0.269823,0.226096,0.293887,0.132713,0.206888,0.293483,0.163361,0.205551,0.692178,0.137956,0.094710,0.556707,-0.144375,0.089961,0.290612,-0.143787,0.065148,0.283993,0.401551,0.064335,0.540818,0.403321,-0.030971,0.294891,0.114969,-0.048934,0.694084,0.125039,-0.070555,0.295011,0.136716,-0.187500,0.422297,-0.012029,-0.200259,0.419636,0.247699,0.319134,0.293735,0.264384,0.265664,0.323435,0.267408,0.317686,0.354307,0.272877
5,0.013889,-0.648991,0.083183,-0.081837,0.751794,0.300929,0.323831,0.268295,0.359121,0.426018,0.015403,0.347159,0.416023,0.269821,0.226100,0.293901,0.132715,0.206888,0.293483,0.163365,0.205555,0.692179,0.137972,0.094733,0.556723,-0.144357,0.089946,0.290629,-0.143769,0.065156,0.283977,0.401554,0.064348,0.540812,0.403337,-0.030971,0.294892,0.114970,-0.048935,0.694085,0.125051,-0.070552,0.295010,0.136719,-0.187486,0.422310,-0.012018,-0.200254,0.419633,0.247705,0.319296,0.293762,0.264530,0.265770,0.323390,0.267436,0.317723,0.354340,0.272920
