Format Version,1.23,Take Name,3_1_stat,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2020-06-18 04.11.01.780 ,Total Frames in Take,4336,Total Exported Frames,4336,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,weight,weight,weight,weight,weight,weight,weight,Unlabeled 1227,Unlabeled 1227,Unlabeled 1227,Unlabeled 1228,Unlabeled 1228,Unlabeled 1228,Unlabeled 1229,Unlabeled 1229,Unlabeled 1229,Unlabeled 1230,Unlabeled 1230,Unlabeled 1230,Unlabeled 1231,Unlabeled 1231,Unlabeled 1231,Unlabeled 1232,Unlabeled 1232,Unlabeled 1232,Unlabeled 1233,Unlabeled 1233,Unlabeled 1233,Unlabeled 1234,Unlabeled 1234,Unlabeled 1234,Unlabeled 1235,Unlabeled 1235,Unlabeled 1235,Unlabeled 1236,Unlabeled 1236,Unlabeled 1236,Unlabeled 1237,Unlabeled 1237,Unlabeled 1237,Unlabeled 1238,Unlabeled 1238,Unlabeled 1238,Unlabeled 1239,Unlabeled 1239,Unlabeled 1239,Unlabeled 1240,Unlabeled 1240,Unlabeled 1240,weight:Marker1,weight:Marker1,weight:Marker1,weight:Marker2,weight:Marker2,weight:Marker2,weight:Marker3,weight:Marker3,weight:Marker3
,ID,"1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","1A3DA98FB15F11EAF2D8E94110B04097","DCB80","DCB80","DCB80","DCBA0","DCBA0","DCBA0","DCBD0","DCBD0","DCBD0","DCBE0","DCBE0","DCBE0","DCBF0","DCBF0","DCBF0","DCC00","DCC00","DCC00","DCC10","DCC10","DCC10","DCC20","DCC20","DCC20","DCC30","DCC30","DCC30","DCC40","DCC40","DCC40","DCC50","DCC50","DCC50","DCC60","DCC60","DCC60","DCC70","DCC70","DCC70","DCC80","DCC80","DCC80","DCBB0","DCBB0","DCBB0","DCBC0","DCBC0","DCBC0","DCB90","DCB90","DCB90"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.576759,-0.450006,0.397259,-0.554103,0.312754,0.328067,-0.003510,0.358660,0.421167,0.012266,0.347059,0.420894,0.267705,0.225826,0.293882,0.131730,0.206625,0.293689,0.162357,0.205413,0.692144,0.132253,0.094576,0.552307,-0.147676,0.088546,0.286358,-0.145488,0.065739,0.287974,0.399950,0.063786,0.545139,0.400210,-0.031268,0.294697,0.114172,-0.049183,0.693950,0.120298,-0.070726,0.295036,0.135943,-0.187981,0.420899,-0.013991,-0.200356,0.420643,0.245507,0.295622,0.297142,-0.002412,0.295057,0.358202,-0.001789,0.347584,0.328856,-0.006328
1,0.002778,0.576704,-0.450028,0.397299,-0.554112,0.312749,0.328067,-0.003506,0.358658,0.421164,0.012263,0.347059,0.420892,0.267704,0.225826,0.293883,0.131735,0.206625,0.293690,0.162360,0.205412,0.692145,0.132253,0.094568,0.552310,-0.147673,0.088548,0.286359,-0.145491,0.065741,0.287974,0.399950,0.063786,0.545141,0.400208,-0.031269,0.294700,0.114169,-0.049181,0.693948,0.120300,-0.070724,0.295035,0.135940,-0.187980,0.420899,-0.013988,-0.200357,0.420642,0.245507,0.295614,0.297145,-0.002411,0.295052,0.358204,-0.001785,0.347579,0.328851,-0.006322
2,0.005556,0.576687,-0.450020,0.397366,-0.554088,0.312742,0.328065,-0.003504,0.358657,0.421165,0.012264,0.347058,0.420894,0.267704,0.225828,0.293882,0.131731,0.206622,0.293690,0.162358,0.205410,0.692144,0.132253,0.094566,0.552309,-0.147673,0.088548,0.286360,-0.145489,0.065741,0.287973,0.399952,0.063783,0.545138,0.400208,-0.031271,0.294698,0.114169,-0.049184,0.693952,0.120301,-0.070726,0.295036,0.135939,-0.187983,0.420899,-0.013989,-0.200359,0.420641,0.245503,0.295604,0.297144,-0.002408,0.295050,0.358204,-0.001787,0.347573,0.328846,-0.006318
3,0.008333,0.576638,-0.450069,0.397410,-0.554068,0.312734,0.328066,-0.003502,0.358655,0.421163,0.012264,0.347057,0.420893,0.267706,0.225828,0.293882,0.131733,0.206628,0.293691,0.162358,0.205409,0.692143,0.132252,0.094567,0.552309,-0.147671,0.088546,0.286360,-0.145487,0.065741,0.287971,0.399947,0.063784,0.545139,0.400209,-0.031271,0.294697,0.114167,-0.049183,0.693949,0.120299,-0.070723,0.295036,0.135939,-0.187985,0.420898,-0.013989,-0.200354,0.420642,0.245506,0.295592,0.297149,-0.002407,0.295045,0.358209,-0.001784,0.347565,0.328841,-0.006314
4,0.011111,0.576616,-0.450053,0.397516,-0.554029,0.312726,0.328065,-0.003498,0.358655,0.421166,0.012265,0.347056,0.420893,0.267704,0.225830,0.293882,0.131734,0.206627,0.293689,0.162359,0.205413,0.692144,0.132251,0.094564,0.552310,-0.147672,0.088545,0.286360,-0.145489,0.065738,0.287971,0.399947,0.063783,0.545139,0.400209,-0.031269,0.294699,0.114172,-0.049180,0.693947,0.120294,-0.070730,0.295034,0.135938,-0.187986,0.420897,-0.013986,-0.200355,0.420641,0.245510,0.295580,0.297150,-0.002401,0.295044,0.358210,-0.001786,0.347555,0.328834,-0.006306
5,0.013889,0.576541,-0.450126,0.397543,-0.554028,0.312715,0.328063,-0.003498,0.358655,0.421163,0.012265,0.347060,0.420892,0.267704,0.225828,0.293884,0.131733,0.206625,0.293690,0.162359,0.205411,0.692144,0.132254,0.094565,0.552306,-0.147673,0.088542,0.286358,-0.145491,0.065738,0.287972,0.399951,0.063787,0.545139,0.400209,-0.031267,0.294699,0.114168,-0.049181,0.693947,0.120293,-0.070729,0.295033,0.135941,-0.187982,0.420898,-0.013988,-0.200357,0.420641,0.245506,0.295561,0.297152,-0.002405,0.295038,0.358210,-0.001783,0.347547,0.328828,-0.006306
6,0.016667,0.576497,-0.450131,0.397630,-0.554007,0.312708,0.328063,-0.003494,0.358655,0.421164,0.012264,0.347058,0.420892,0.267705,0.225829,0.293884,0.131733,0.206627,0.293689,0.162358,0.205409,0.692143,0.132253,0.094565,0.552310,-0.147670,0.088544,0.286360,-0.145489,0.065740,0.287973,0.399948,0.063784,0.545137,0.400210,-0.031271,0.294699,0.114171,-0.049183,0.693949,0.120301,-0.070728,0.295034,0.135941,-0.187987,0.420898,-0.013988,-0.200354,0.420639,0.245505,0.295550,0.297156,-0.002401,0.295035,0.358213,-0.001782,0.347540,0.328821,-0.006298
7,0.019444,0.576479,-0.450178,0.397677,-0.553954,0.312702,0.328061,-0.003490,0.358656,0.421166,0.012265,0.347056,0.420893,0.267708,0.225828,0.293882,0.131730,0.206625,0.293689,0.162360,0.205410,0.692144,0.132252,0.094565,0.552309,-0.147671,0.088545,0.286357,-0.145487,0.065741,0.287972,0.399951,0.063784,0.545139,0.400210,-0.031270,0.294697,0.114169,-0.049179,0.693946,0.120296,-0.070726,0.295036,0.135941,-0.187987,0.420897,-0.013987,-0.200356,0.420641,0.245506,0.295539,0.297154,-0.002396,0.295034,0.358216,-0.001780,0.347533,0.328813,-0.006296
8,0.022222,0.576456,-0.450194,0.397729,-0.553927,0.312692,0.328062,-0.003489,0.358654,0.421164,0.012265,0.347059,0.420893,0.267704,0.225827,0.293883,0.131738,0.206627,0.293689,0.162359,0.205400,0.692145,0.132242,0.094562,0.552309,-0.147670,0.088542,0.286361,-0.145490,0.065739,0.287972,0.399951,0.063782,0.545137,0.400212,-0.031266,0.294697,0.114169,-0.049185,0.693950,0.120301,-0.070727,0.295034,0.135940,-0.187985,0.420897,-0.013987,-0.200358,0.420639,0.245505,0.295525,0.297157,-0.002394,0.295026,0.358220,-0.001780,0.347526,0.328810,-0.006293
